Information , 22-08-2017 19:30:31 , UserDetailsService,Login,Start
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,CreateMD5Hash ,End
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,Authenticate ,Start 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,Authenticate ,Entered Authentication: - UserName-us
Verbose , 22-08-2017 19:30:33 , UserDetailsBusiness,Authenticate ,Checking if the user as already logged in - 
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,GenerateSessionId,Start For UserID -36
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,GenerateSessionId,Generating SessionId for UserId: 36
Verbose , 22-08-2017 19:30:33 , UserDetailsBusiness,GenerateSessionId,Inserting Session Id into the Session Table for UserId- 36
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,GenerateSessionId,End For UserId 36
Verbose , 22-08-2017 19:30:33 , UserDetailsBusiness,Authenticate ,Assinging values for the LoginInformation Class
Information , 22-08-2017 19:30:33 , UserDetailsBusiness,Authenticate ,End 
Critical , 22-08-2017 19:30:34 , UserDetailsBusiness,CompareHashAndAuthenticate ,Input string was not in a correct format.,at System.Number.StringToNumber(String str; NumberStyles options; NumberBuffer& number; NumberFormatInfo info; Boolean parseDecimal);   at System.Number.ParseInt32(String s; NumberStyles style; NumberFormatInfo info);   at System.Convert.ToInt32(String value);   at SICT.BusinessLayer.V1.UserDetailsBusiness.CompareHashAndAuthenticate(String HashString) in D:\SICT_Web\SICT\BusinessLayerV1\UserDetailsBusiness.cs:line 99
Information , 22-08-2017 19:30:34 , UserDetailsBusiness,CompareHashAndAuthenticate ,End
Information , 22-08-2017 19:30:34 , UserDetailsService,Login,End
Information , 22-08-2017 19:30:34 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:34 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:34 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:34 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:48 , ReportingServices,GetAirlineReport,Start 
Information , 22-08-2017 19:30:48 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:48 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:30:48 , ReportingBusiness,GetAirlineReport,Start for AirportId --1
Information , 22-08-2017 19:30:48 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 22-08-2017 19:30:48 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
Information , 22-08-2017 19:30:48 , ReportingBusiness,BuildFilterConditionForTarget,Start For AiprortId --1
Information , 22-08-2017 19:30:48 , ReportingBusiness,BuildFilterConditionForTarget,End For AiprortId --1
Information , 22-08-2017 19:30:48 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 22-08-2017 19:30:48 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
Information , 22-08-2017 19:30:51 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 22-08-2017 19:30:51 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
Information , 22-08-2017 19:30:51 , ReportingBusiness,BuildFilterConditionForTarget,Start For AiprortId --1
Information , 22-08-2017 19:30:51 , ReportingBusiness,BuildFilterConditionForTarget,End For AiprortId --1
Information , 22-08-2017 19:30:51 , ReportingBusiness,BuildMultiFilterConditionForReport,Start For AiprortId --1
Information , 22-08-2017 19:30:51 , ReportingBusiness,BuildMultiFilterConditionForReport,End For AiprortId --1
Information , 22-08-2017 19:31:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:31:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:31:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:31:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:31:40 , ReportingBusiness,GetAirlineReport,End for AirportId --1
Information , 22-08-2017 19:31:40 , ReportingServices,GetAirlineReport,End 
Information , 22-08-2017 19:32:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:32:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:32:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:32:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:33:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:33:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:33:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:33:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:34:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:34:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:34:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:34:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:35:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:35:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:35:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:35:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:36:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:36:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:36:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:36:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:37:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:37:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:37:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:37:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:38:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:38:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:38:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:38:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:39:40 , UserDetailsService,IsSessionIdValid,Start for SessionId - d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:39:40 , UserDetailsBusiness,IsSessionIdValid, Start for Session id-d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:39:40 , UserDetailsBusiness,IsSessionIdValid,End for SessonId -d6de14bb-be04-48c2-ac0b-2dc69c311c3b
Information , 22-08-2017 19:39:40 , UserDetailsService,IsSessionIdValid,End for SessionId- d6de14bb-be04-48c2-ac0b-2dc69c311c3b
